Jugador,Minutos Jugados,Goles,Disparos a Puerta,Disparos Fuera,Faltas Recibidas,Faltas Cometidas,Tarjetas Amarillas,Tarjetas Rojas,Pases Completados,Total de Pases ,Paradas Realizadas,Distancia recorrida (km),Velocidad máxima (km/h),Partidos Jugados,Recuperaciones
Unai Simón,570,0,0,0,0,0,0,0,189,237,14,34.9,28.5,6,0
Carvajal,471,1,2,0,3,5,3,1,266,290,0,53.97,32.5,5,31
Le Normand,443,0,0,3,3,8,2,0,325,341,0,49.77,31.3,6,27
Nacho,262,0,0,0,3,,0,0,121,128,0,27.75,31.9,4,8
Rodri,521,1,1,2,7,7,3,0,411,439,0,68.52,33,6,0
Mikel Merino,178,1,2,1,1,9,0,0,105,124,0,28.09,31.4,7,10
Fabián Ruiz,542,2,5,7,4,4,1,0,381,422,0,69.11,32.6,6,0
Zubimendi,140,0,0,0,1,4,0,0,106,112,0,20.04,29.4,4,12
Lamine Yamal,507,1,7,7,6,7,1,0,161,196,0,55.32,33.3,7,0
Laporte,411,0,1,3,5,2,0,0,452,480,0,56.09,33,6,37
Dani Olmo,431,3,6,4,7,2,1,0,147,174,0,50.28,30.5,6,11
Morata,454,1,4,6,9,12,1,0,78,105,0,52.92,32,7,5
Oyarzabal,197,1,3,2,2,3,0,0,56,59,0,25.49,32.1,7,2
Cucurella,546,0,1,0,12,9,0,0,300,323,0,63.1,33.1,6,34
Nico Williams,494,2,3,4,2,9,0,0,180,198,0,54.53,35.8,6,6
Raya,90,0,0,0,0,0,0,0,36,39,4,5.92,27.4,1,0
Vivian,122,0,0,1,1,1,1,0,103,109,0,14.69,30.2,2,11
Joselu,89,0,0,3,1,1,0,0,15,18,0,10.8,29.6,2,2
Ferran,152,1,1,4,2,4,1,0,32,39,0,19.99,36,5,0
Grimaldo,114,0,0,0,0,0,0,0,81,85,0,15.03,31.2,2,10
Jesus Navas,157,0,0,0,1,2,1,0,45,52,0,18.58,33,3,5
Baena,25,0,0,0,0,1,0,0,10,11,0,4.5,31.3,2,2
Fermin,28,0,0,0,1,1,0,0,9,10,0,3.92,32.5,1,0
Remmiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
