Jugador,Minutos Jugados,Goles,Asistencias,Disparos a Puerta,Disparos Fuera,Faltas Recibidas,Faltas Cometidas,Tarjetas Amarillas,Tarjetas Rojas,Pases Completados,Total de Pases ,Paradas Realizadas
Unai Simón,90,0,0,0,0,0,0,0,0,33,36,3
Vivian,32,0,0,0,0,0,0,0,0,19,23,0
Cucurella,90,0,0,0,0,2,1,0,0,41,48,0
Nacho,90,0,0,0,0,1,1,0,0,41,43,0
Rodri,90,0,0,0,0,0,0,0,0,52,55,0
Mikel Merino,14,0,0,0,0,1,0,0,0,14,16,0
Fabián Ruiz,90,0,0,0,2,0,0,0,0,58,65,0
Zubimendi,1,0,0,0,0,0,0,0,0,2,2,0
Lamine Yamal,89,1,0,1,2,2,2,1,0,23,29,0
Laporte,90,0,0,0,0,1,0,0,0,73,80,0
Dani Olmo,76,1,0,1,0,1,0,0,0,35,41,0
Ferran,1,0,0,0,0,0,0,0,0,1,1,0
Morata,76,0,0,0,0,4,3,0,0,8,9,0
Oyarzabal,14,0,0,0,0,0,1,0,0,7,7,0
Navas,58,0,0,0,0,1,1,1,0,9,11,0
Nico Williams,89,0,0,0,0,0,0,0,0,26,31,0
