,,,,,,,,,,,,,,
Jugador,Minutos Jugados,Goles,Asistencias,Disparos a Puerta,Disparos Fuera,Faltas Recibidas,Recuperaciones,Faltas Cometidas,Tarjetas Amarillas,Tarjetas Rojas,Pases Completados,Total de Pases ,Regates,Paradas Realizadas
Unai Simón,90,0,0,0,0,0,0,0,0,0,27,35,0,1
Carvajal,90,0,0,0,0,1,4,0,1,0,54,61,0,0
Le Normand,90,0,0,0,0,3,6,2,1,0,60,65,1,0
Laporte,90,0,0,0,0,1,5,2,0,0,74,81,0,0
Cucurella,90,0,0,0,0,3,14,3,0,0,51,52,0,0
Rodri,90,0,0,0,0,3,0,1,1,0,95,97,1,0
Mikel Merino,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabián Ruiz,89,0,0,0,0,2,5,0,0,0,77,83,2,0
Pedri,71,0,0,2,0,1,1,0,0,0,33,37,4,0
Baena,19,0,0,0,0,0,1,1,0,0,5,5,1,0
Lamine Yamal,71,0,0,0,1,0,2,1,0,0,24,29,3,0
Ferran,19,0,0,0,0,0,0,0,0,0,4,4,1,0
Nico Williams,78,0,0,0,2,1,,2,0,0,29,30,7,0
Morata,78,0,0,2,1,1,0,2,0,0,13,20,1,0
Oyarzabal,12,0,0,0,0,1,0,0,0,0,5,5,1,0
